station_code,station_name,lat,lon
AA,ATARIA,27.1725,80.8610
AABH,AMBIKA BHAWANI HALT,25.7514,84.9690
AADR,Amb Andora,31.6707,76.1104
AAG,ANGAR,17.9543,75.5999
AAH,ITEHAR,26.5626,78.6838
AAL,AMLAI,23.1735,81.5935
AAM,Angadippuram,10.9795,76.2073
AAP,AMBIAPUR,26.5154,79.8269
AAR,ADESAR,23.5530,70.9721
AAS,ASRANADA,26.3974,73.3053
AAY1,ARALVAYMOLI,11.1271,78.6569
AB,AMBUR,12.7829,78.7213
ABB,ABADA,22.5479,88.1994
ABD,AMBLI ROAD,23.0544,72.4940
ABE,Ambikeshwar,26.3686,77.9638
ABEO,Pattaravakkam,13.1145,80.1662
ABFC,AMBARI FALAKATA,26.6416,88.5106
ABGM,AMBALGRAM,23.6960,88.0837
ABGT,ARBAGATTA HALT,13.9075,76.1350
ABH,AMBARNATH,19.2104,73.1848
ABI,AMBATURAI,10.2722,77.9245
ABKA,AMBIKA KALNA,23.2114,88.3540
ABKP,AMBIKAPUR,23.1370,83.1451
ABLE,AMBALE,18.3987,74.1715
ABO,ASTHAL BOHAR,28.8578,76.6292
ABP,AKBARPUR,26.4298,82.5391
ABR,ABU ROAD,24.4708,72.7757
ABS,ABOHAR,30.1394,74.1957
ABSA,Ambassa,23.9305,91.8608
ABU,AMBATTUR,13.1143,80.1525
ABW,Abutara Halt,26.0708,89.5869
ABX,AMBARI,19.6894,78.2167
ABY,AMBIVLI,19.2676,73.1717
ABZ,Adgaon Buzurg,21.1239,76.9559
ACG,ACHEGAON,20.9762,75.9342
ACH,Achalganj,26.4446,80.5454
ACK,ACHARAPAKKAM,12.4068,79.8217
ACL,ANCHELI,20.8452,72.9450
ACLE,AZIMGANJ CITY,24.2379,88.2589
ACN,ADHICHCHANUR,12.0541,79.1825
ACND,ACHARYA NARENDRA DEV NAGAR,26.7746,82.1570
ACU,ACHUARA HALT,25.4527,85.6611
AD,ADONI,15.6170,77.2749
ADB,ADILABAD,19.6801,78.5353
ADD,ADAS ROAD,22.4866,73.0347
ADE,ADARI ROAD,20.9868,70.3308
ADF,ADINA,25.1144,88.1232
ADH,ANDHERI,19.1174,72.8469
ADHL,ADIHALLI,13.2834,76.3473
ADI,AHMEDABAD JN,23.0255,72.6015
ADIJ,AHMEDABAD JN,23.0257,72.6017
ADL,ANDUL,22.5752,88.2396
ADPT,ANDIPATTI,12.9968,80.2033
ADQ,Adhikari,26.5769,88.1699
ADR,Mandi Adampur,29.2831,75.4689
ADRA,ADRA JN,23.4960,86.6747
ADST,ADI SAPTAGRAM,22.9545,88.3789
ADT,ADUTURAI,11.0092,79.4787
ADTL,ADHARTAL,23.2274,79.9723
ADTP,ADITYAPUR,22.7822,86.1590
ADVI,ADAVALI,16.9218,73.5925
ADX,ADAPUR,26.9247,84.9418
AED,AULENDA,27.0292,77.6126
AEH,ANANT PAITH,25.9554,78.2761
AEJ,ARNEJ,22.5821,72.2683
AEK,Anekal Road,12.7239,77.7107
